OrgUnitID,UID,OrgUnit2,OU2,OrgUnit3,OU3,OrgUnit4,OU4,OrgUnit5,OU5,OU_Type,Owner,RurUrb,OrgUnitComment,DateOpen,DateClose,Source,LocationComment,LatLon_Tentatively_Verified,LatLon_NeedsChecking,Longitude,Latitude,TelNo,OpenPublicFixed,BroadBandBufferSchoolDis
37,MDyxwSMVIrY,ec Eastern Cape Province,Eastern Cape,ec Cacadu District Municipality,Cacadu DM,ec Camdeboo Health sub-District,Camdeboo SD,ec Aberdeen EMS Station,Aberdeen EMS,EMS Station,Province EMS,Urban,,10/1/06,12/31/99,,,FALSE,TRUE,24.06,-32.48,,FALSE,
38,zGv4gjlRmCX,ec Eastern Cape Province,Eastern Cape,ec Cacadu District Municipality,Cacadu DM,ec Camdeboo Health sub-District,Camdeboo SD,ec Aberdeen Hospital,Aberdeen Hosp,District Hospital,Province Aided Facility,Urban,,1/1/94,12/31/99,,,TRUE,FALSE,24.06093,-32.48621,049 846 0578,TRUE,
39,lg5RMyXbKEr,ec Eastern Cape Province,Eastern Cape,ec Cacadu District Municipality,Cacadu DM,ec Camdeboo Health sub-District,Camdeboo SD,ec Aberdeen Mobile 1,Aberdeen Mob 1,Mobile Service,Province Facility,Rural,,1/1/94,12/31/99,,,FALSE,FALSE,24.05321,-32.47671,049 846 0315,FALSE,
42,rICptExz4NW,ec Eastern Cape Province,Eastern Cape,ec Cacadu District Municipality,Cacadu DM,ec Kouga Health sub-District,Kouga SD,ec Addo Clinic,Addo Clinic,Clinic,Province Facility,Rural,,1/1/94,12/31/99,,,TRUE,FALSE,25.69077,-33.54222,042 233 0358,TRUE,
44,ahtUWcGhpFx,ec Eastern Cape Province,Eastern Cape,ec Cacadu District Municipality,Cacadu DM,ec Kouga Health sub-District,Kouga SD,ec Addo Mobile 1,Addo Mob 1,Mobile Service,Province Facility,Rural,,1/1/94,12/31/99,,,FALSE,FALSE,25.69069,-33.54222,042 233 0358,FALSE,
45,NuGS3CzbONH,ec Eastern Cape Province,Eastern Cape,ec Cacadu District Municipality,Cacadu DM,ec Kouga Health sub-District,Kouga SD,ec Addo Mobile 2,Addo Mob 2,Mobile Service,Province Facility,Rural,,1/1/94,12/31/99,,,FALSE,FALSE,25.69069,-33.54229,042 233 0358,FALSE,
47,YcSFisJQHRS,ec Eastern Cape Province,Eastern Cape,ec Amathole District Municipality,Amathole DM,ec Nkonkobe Health sub-District,Nkonkobe SD,ec Adelaide EMS Station,Adelaide EMS,EMS Station,Province EMS,Rural,,12/1/04,12/31/99,Guesstimate,,FALSE,TRUE,26.294,-32.699,,FALSE,
48,QYdJjvibz4e,ec Eastern Cape Province,Eastern Cape,ec Amathole District Municipality,Amathole DM,ec Nkonkobe Health sub-District,Nkonkobe SD,ec Adelaide Gateway Clinic,Adelaide Gateway,Clinic,Province Facility,Urban,,1/1/94,12/31/99,,,FALSE,FALSE,26.29404,-32.69994,046 684 0066,TRUE,
49,YOaQ1Ar7h2c,ec Eastern Cape Province,Eastern Cape,ec Amathole District Municipality,Amathole DM,ec Nkonkobe Health sub-District,Nkonkobe SD,ec Adelaide Hospital,Adelaide Hosp,District Hospital,Province Aided Facility,Rural,,1/1/94,12/31/99,,,FALSE,FALSE,26.29427,-32.70092,046 684 0066,TRUE,
50,Ny0AGHdGGJx,ec Eastern Cape Province,Eastern Cape,ec Amathole District Municipality,Amathole DM,ec Nkonkobe Health sub-District,Nkonkobe SD,ec Adelaide Mobile 1,Adelaide Mob 1,Mobile Service,Province Facility,Rural,Previously Adelaide Mobile,1/1/94,12/31/99,,,FALSE,FALSE,26.2963,-32.70812,046 684 0066,FALSE,
